MaxMass,NumClasses,NumSystems,UseLSTM,UseTransformer,NumLayers,Damping,TotalParams_LSTM,TotalParams_Mamba,MemoryMB_LSTM,MemoryMB_Mamba,Elapsed_LSTM,Elapsed_Mamba,MaxValAcc_LSTM,EpochValAcc_LSTM,MaxValAcc_Mamba,EpochValAcc_Mamba,File
,,,,,,,,,,,,,,,,,exp.txt
10,5,10000,TRUE,FALSE,1,0.1,17733,8199,0.135292053,0.062553406,2757.3759,1225.3932,19.83,1,40.73,1,massClass_471229_0.out
10,5,10000,TRUE,FALSE,2,0.1,51013,16073,0.389198303,0.122627258,2209.8368,1192.4998,27.1,1,31.23,1,massClass_471229_1.out
10,5,10000,TRUE,FALSE,1,0.2,17733,8199,0.135292053,0.062553406,348.4482,523.679,28.1,1,42.17,1,massClass_471229_2.out
10,5,10000,TRUE,FALSE,2,0.2,51013,16073,0.389198303,0.122627258,548.176,1461.7161,19.67,1,41.57,1,massClass_471229_3.out
10,5,10000,TRUE,FALSE,1,0.3,17733,8199,0.135292053,0.062553406,1468.6004,1478.5434,30.2,1,44.8,1,massClass_471229_4.out
10,5,10000,TRUE,FALSE,2,0.3,51013,16073,0.389198303,0.122627258,452.2801,922.2085,20.77,1,40.17,1,massClass_471229_5.out
10,5,10000,TRUE,FALSE,1,0.4,17733,8199,0.135292053,0.062553406,465.2257,469.5769,21.4,1,44.3,1,massClass_471229_6.out
10,5,10000,TRUE,FALSE,1,0.5,17733,8199,0.135292053,0.062553406,1482.1585,1912.0982,23.57,1,41.13,1,massClass_471229_8.out
10,5,10000,TRUE,FALSE,2,0.5,51013,16073,0.389198303,0.122627258,1280.3228,489.2535,19.5,1,40.7,1,massClass_471229_9.out
10,5,10000,TRUE,FALSE,1,0.6,17733,8199,0.135292053,0.062553406,1155.7497,1282.6555,27.47,1,40.67,1,massClass_471229_10.out
10,5,10000,TRUE,FALSE,2,0.6,51013,16073,0.389198303,0.122627258,439.7039,2442.3699,26.33,1,44.93,1,massClass_471229_11.out
10,5,10000,TRUE,FALSE,1,0.7,17733,8199,0.135292053,0.062553406,1935.3731,1134.2292,24.37,1,41.67,1,massClass_471229_12.out
10,5,10000,TRUE,FALSE,2,0.7,51013,16073,0.389198303,0.122627258,509.6631,2400.1668,27.63,1,43.83,1,massClass_471229_13.out
10,5,10000,TRUE,FALSE,1,0.8,17733,8199,0.135292053,0.062553406,2444.8377,1442.3163,27.43,1,42.33,1,massClass_471229_14.out
10,5,10000,TRUE,FALSE,2,0.8,51013,16073,0.389198303,0.122627258,824.371,596.1068,23.63,1,45.27,1,massClass_471229_15.out
10,5,10000,TRUE,FALSE,1,0.9,17733,8199,0.135292053,0.062553406,2078.8307,816.0661,27.07,1,39.9,1,massClass_471229_16.out
10,5,10000,TRUE,FALSE,2,0.9,51013,16073,0.389198303,0.122627258,692.735,2008.5912,30.13,1,44.27,1,massClass_471229_17.out
