MaxMass,NumClasses,NumSystems,NumLayers,Damping,TotalParams_LSTM,TotalParams_Mamba,MemoryMB_LSTM,MemoryMB_Mamba,Elapsed_LSTM,Elapsed_Mamba,MaxValAcc_LSTM,MaxValAcc_Mamba,File
10,3,10000,1,0.1,17603,8069,0.13430023193359375,0.061561584,2369.0588,1014.6107,43.8,58.6,output_classes_3_layers_1_0_1.log
10,3,10000,2,0.1,50883,15943,0.38820648193359375,0.12163543701171875,7750.0499,54042.2041,31.93,61.97,output_classes_3_layers_2_0_1.log
10,4,10000,1,0.1,17668,8134,0.134796143,0.062057495,1182.7797,2366.7563,31.2,44.67,output_classes_4_layers_1_0_1.log
10,4,10000,2,0.1,50948,16008,0.388702393,0.122131348,4562.8676,43865.2012,30,54.2,output_classes_4_layers_2_0_1.log
10,5,10000,1,0.1,17733,8199,0.13529205322265625,0.062553406,5447.9942,1436.1348,27.73,38.8,output_classes_5_layers_1_0_1.log
10,5,10000,2,0.1,51013,16073,0.38919830322265625,0.12262725830078125,3336.6091,46752.3336,24.4,46.43,output_classes_5_layers_2_0_1.log
10,6,10000,1,0.1,17798,8264,0.1357879638671875,0.063049316,766.9479,1182.6872,25,36.07,output_classes_6_layers_1_0_1.log
10,6,10000,2,0.1,51078,16138,0.3896942138671875,0.1231231689453125,3305.2022,42605.1898,17.1,41.07,output_classes_6_layers_2_0_1.log
10,7,10000,1,0.1,17863,8329,0.13628387451171875,0.063545227,762.6749,1689.4456,21.73,33.33,output_classes_7_layers_1_0_1.log
10,7,10000,2,0.1,51143,16203,0.39019012451171875,0.12361907958984375,5549.8122,99817.6131,18.43,33.03,output_classes_7_layers_2_0_1.log
10,8,10000,1,0.1,17928,8394,0.136779785,0.064041138,905.9246,1183.2911,19.2,27.6,output_classes_8_layers_1_0_1.log
10,8,10000,2,0.1,51208,16268,0.390686035,0.12411499,4136.4893,91270.4074,11.13,31.1,output_classes_8_layers_2_0_1.log
10,9,10000,1,0.1,17993,8459,0.13727569580078125,0.064537048,2301.6356,2695.429,17.2,26.87,output_classes_9_layers_1_0_1.log
10,10,10000,1,0.1,18058,8524,0.1377716064453125,0.065032959,834.0027,3537.064,14.73,22.8,output_classes_10_layers_1_0_1.log
