Model,Epoch,Validation Accuracy
LSTM,1,63.33
LSTM,2,40.0
LSTM,3,35.0
LSTM,4,65.0
LSTM,5,70.0
LSTM,6,70.0
LSTM,7,73.33
LSTM,8,73.33
LSTM,9,85.0
LSTM,10,71.67
LSTM,11,73.33
LSTM,12,73.33
LSTM,13,73.33
LSTM,14,76.67
LSTM,15,76.67
LSTM,16,76.67
LSTM,17,76.67
LSTM,18,85.0
LSTM,19,76.67
LSTM,20,76.67
LSTM,21,76.67
LSTM,22,80.0
LSTM,23,76.67
LSTM,24,85.0
LSTM,25,76.67
LSTM,26,76.67
LSTM,27,76.67
LSTM,28,80.0
LSTM,29,76.67
LSTM,30,80.0
LSTM,31,76.67
LSTM,32,76.67
LSTM,33,76.67
LSTM,34,76.67
LSTM,35,76.67
LSTM,36,76.67
LSTM,37,76.67
LSTM,38,76.67
LSTM,39,76.67
LSTM,40,76.67
LSTM,41,76.67
LSTM,42,76.67
LSTM,43,76.67
LSTM,44,76.67
LSTM,45,76.67
LSTM,46,75.0
LSTM,47,76.67
LSTM,48,76.67
LSTM,49,83.33
LSTM,50,76.67
LSTM,51,76.67
LSTM,52,76.67
LSTM,53,83.33
LSTM,54,76.67
LSTM,55,76.67
LSTM,56,71.67
LSTM,57,76.67
LSTM,58,76.67
LSTM,59,76.67
Mamba,1,16.67
Mamba,2,23.33
Mamba,3,46.67
Mamba,4,53.33
Mamba,5,66.67
Mamba,6,78.33
Mamba,7,68.33
Mamba,8,73.33
Mamba,9,73.33
Mamba,10,76.67
Mamba,11,76.67
Mamba,12,76.67
Mamba,13,78.33
Mamba,14,78.33
Mamba,15,83.33
Mamba,16,76.67
Mamba,17,73.33
Mamba,18,78.33
Mamba,19,73.33
Mamba,20,76.67
Mamba,21,73.33
Mamba,22,76.67
Mamba,23,73.33
Mamba,24,76.67
