Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.2381,0.5556,0.3333,9
Decision Trees,chemical,1.0,1.0,1.0,11
Decision Trees,electric,0.5,0.2,0.2857,20
Decision Trees,impulsive,1.0,1.0,1.0,20
Decision Trees,macro_avg,0.6845,0.6889,0.6548,60
Decision Trees,weighted_avg,0.719,0.6667,0.6619,60
Decision Trees,t_no_thrust,5.0,0.0,4.0,0
Decision Trees,t_chemical,0.0,11.0,0.0,0
Decision Trees,t_electric,16.0,0.0,4.0,0
Decision Trees,t_impulsive,0.0,0.0,0.0,20
LSTM,no_thrust,0.2308,0.6667,0.3429,9
LSTM,chemical,0.7857,1.0,0.88,11
LSTM,electric,0.0,0.0,0.0,20
LSTM,impulsive,1.0,1.0,1.0,20
LSTM,macro_avg,0.5041,0.6667,0.5557,60
LSTM,weighted_avg,0.512,0.6167,0.5461,60
LSTM,t_no_thrust,6.0,3.0,0.0,0
LSTM,t_chemical,0.0,11.0,0.0,0
LSTM,t_electric,20.0,0.0,0.0,0
LSTM,t_impulsive,0.0,0.0,0.0,20
Mamba,no_thrust,0.2759,0.8889,0.4211,9
Mamba,chemical,1.0,0.9091,0.9524,11
Mamba,electric,0.0,0.0,0.0,20
Mamba,impulsive,1.0,1.0,1.0,20
Mamba,macro_avg,0.569,0.6995,0.5934,60
Mamba,weighted_avg,0.558,0.6333,0.5711,60
Mamba,t_no_thrust,8.0,0.0,1.0,0
Mamba,t_chemical,1.0,10.0,0.0,0
Mamba,t_electric,20.0,0.0,0.0,0
Mamba,t_impulsive,0.0,0.0,0.0,20
