Model,Epoch,Validation Accuracy
LSTM,1,49.23
LSTM,2,74.83
LSTM,3,74.83
LSTM,4,74.83
LSTM,5,52.8
LSTM,6,74.27
LSTM,7,74.7
LSTM,8,49.23
LSTM,9,71.5
LSTM,10,49.45
LSTM,11,49.45
LSTM,12,68.15
LSTM,13,74.83
LSTM,14,67.7
LSTM,15,55.67
LSTM,16,49.23
LSTM,17,74.83
LSTM,18,49.85
LSTM,19,49.23
LSTM,20,74.62
LSTM,21,49.23
LSTM,22,74.22
LSTM,23,74.83
LSTM,24,74.62
LSTM,25,74.83
LSTM,26,74.62
LSTM,27,74.83
LSTM,28,49.45
LSTM,29,49.45
LSTM,30,74.62
LSTM,31,74.83
LSTM,32,75.1
LSTM,33,74.83
LSTM,34,74.83
LSTM,35,75.65
LSTM,36,74.83
LSTM,37,74.83
LSTM,38,75.02
LSTM,39,49.45
LSTM,40,74.72
LSTM,41,74.82
LSTM,42,75.02
LSTM,43,75.3
LSTM,44,75.22
LSTM,45,75.18
LSTM,46,74.83
LSTM,47,74.83
LSTM,48,75.2
LSTM,49,75.33
LSTM,50,74.62
LSTM,51,74.83
LSTM,52,74.83
LSTM,53,74.83
LSTM,54,74.82
LSTM,55,75.0
Mamba,1,25.38
Mamba,2,24.07
Mamba,3,24.07
Mamba,4,24.07
Mamba,5,25.38
Mamba,6,24.07
Mamba,7,25.38
Mamba,8,25.38
Mamba,9,25.38
Mamba,10,24.07
Mamba,11,24.07
Mamba,12,24.07
Mamba,13,24.07
Mamba,14,24.07
Mamba,15,25.17
Mamba,16,24.07
Mamba,17,24.07
