Model,Epoch,Validation Accuracy
LSTM,1.0,74.4
LSTM,2.0,74.65
LSTM,3.0,74.88
LSTM,4.0,74.95
LSTM,5.0,75.95
LSTM,6.0,74.78
LSTM,7.0,75.07
LSTM,8.0,75.08
LSTM,9.0,75.27
LSTM,10.0,75.72
LSTM,11.0,75.12
LSTM,12.0,75.08
LSTM,13.0,76.13
LSTM,14.0,75.95
LSTM,15.0,75.47
LSTM,16.0,76.1
LSTM,17.0,75.47
LSTM,18.0,75.27
LSTM,19.0,75.25
LSTM,20.0,75.55
LSTM,21.0,75.18
LSTM,22.0,75.28
LSTM,23.0,75.47
LSTM,24.0,75.3
LSTM,25.0,75.28
LSTM,26.0,76.02
LSTM,27.0,76.13
LSTM,28.0,76.18
LSTM,29.0,75.85
LSTM,30.0,75.43
LSTM,31.0,76.18
LSTM,32.0,75.83
LSTM,33.0,76.17
LSTM,34.0,76.23
LSTM,35.0,75.67
LSTM,36.0,76.58
LSTM,37.0,75.13
LSTM,38.0,77.02
LSTM,39.0,76.38
LSTM,40.0,76.27
LSTM,41.0,76.38
LSTM,42.0,76.57
LSTM,43.0,76.4
LSTM,44.0,76.38
LSTM,45.0,77.08
LSTM,46.0,76.75
LSTM,47.0,76.68
LSTM,48.0,77.53
LSTM,49.0,75.52
LSTM,50.0,76.73
LSTM,51.0,77.75
LSTM,52.0,78.47
LSTM,53.0,76.68
LSTM,54.0,77.22
LSTM,55.0,77.22
LSTM,56.0,77.18
LSTM,57.0,77.1
LSTM,58.0,77.38
LSTM,59.0,76.02
LSTM,60.0,77.38
LSTM,61.0,80.73
LSTM,62.0,76.42
LSTM,63.0,80.65
LSTM,64.0,81.2
LSTM,65.0,80.87
LSTM,66.0,80.78
LSTM,67.0,77.58
LSTM,68.0,80.12
LSTM,69.0,81.18
LSTM,70.0,82.88
LSTM,71.0,81.93
LSTM,72.0,80.07
LSTM,73.0,81.47
LSTM,74.0,83.42
LSTM,75.0,80.82
LSTM,76.0,81.52
LSTM,77.0,82.6
LSTM,78.0,78.82
LSTM,79.0,82.2
LSTM,80.0,82.62
LSTM,81.0,83.13
LSTM,82.0,82.9
LSTM,83.0,83.6
LSTM,84.0,83.27
LSTM,85.0,83.75
LSTM,86.0,80.92
LSTM,87.0,85.18
LSTM,88.0,83.35
LSTM,89.0,83.68
LSTM,90.0,85.5
LSTM,91.0,82.7
LSTM,92.0,83.48
LSTM,93.0,85.0
LSTM,94.0,84.78
LSTM,95.0,83.93
LSTM,96.0,84.2
LSTM,97.0,85.03
LSTM,98.0,85.63
LSTM,99.0,85.9
LSTM,100.0,84.12
Mamba,1.0,75.08
Mamba,2.0,75.82
Mamba,3.0,75.3
Mamba,4.0,75.32
Mamba,5.0,75.83
Mamba,6.0,77.5
Mamba,7.0,75.75
Mamba,8.0,76.03
Mamba,9.0,75.4
Mamba,10.0,78.52
Mamba,11.0,77.57
Mamba,12.0,84.13
Mamba,13.0,79.78
Mamba,14.0,75.65
Mamba,15.0,83.32
Mamba,16.0,82.17
Mamba,17.0,88.72
Mamba,18.0,79.52
Mamba,19.0,81.92
Mamba,20.0,79.72
Mamba,21.0,81.73
Mamba,22.0,84.75
Mamba,23.0,82.65
Mamba,24.0,84.25
Mamba,25.0,84.32
Mamba,26.0,87.92
Mamba,27.0,86.55
Mamba,28.0,87.48
Mamba,29.0,89.1
Mamba,30.0,79.77
Mamba,31.0,85.17
Mamba,32.0,88.88
Mamba,33.0,89.12
Mamba,34.0,85.2
Mamba,35.0,79.63
Mamba,36.0,87.87
Mamba,37.0,86.25
Mamba,38.0,87.53
Mamba,39.0,89.97
Mamba,40.0,91.73
Mamba,41.0,88.45
Mamba,42.0,91.38
Mamba,43.0,91.5
Mamba,44.0,93.25
Mamba,45.0,95.35
Mamba,46.0,94.58
Mamba,47.0,95.42
Mamba,48.0,91.87
Mamba,49.0,91.95
Mamba,50.0,91.07
Mamba,51.0,95.02
Mamba,52.0,95.77
Mamba,53.0,90.42
Mamba,54.0,95.33
Mamba,55.0,90.3
Mamba,56.0,95.38
Mamba,57.0,94.95
Mamba,58.0,89.8
Mamba,59.0,91.77
Mamba,60.0,95.22
Mamba,61.0,91.98
Mamba,62.0,94.72
Mamba,63.0,93.53
Mamba,64.0,95.42
Mamba,65.0,94.52
Mamba,66.0,96.47
Mamba,67.0,94.23
Mamba,68.0,91.98
Mamba,69.0,93.0
Mamba,70.0,87.48
Mamba,71.0,95.45
Mamba,72.0,95.97
Mamba,73.0,93.33
Mamba,74.0,93.25
Mamba,75.0,94.63
Mamba,76.0,96.13
Mamba,77.0,95.88
Mamba,78.0,95.48
Mamba,79.0,96.72
Mamba,80.0,96.18
Mamba,81.0,96.92
Mamba,82.0,97.15
Mamba,83.0,96.53
Mamba,84.0,96.65
Mamba,85.0,95.18
Mamba,86.0,95.37
Mamba,87.0,96.38
Mamba,88.0,96.93
Mamba,89.0,96.05
Mamba,90.0,96.63
Mamba,91.0,96.08
