Model,Epoch,Validation Accuracy
Hybrid,1,73.55
Hybrid,2,74.4
Hybrid,3,74.93
Hybrid,4,75.45
Hybrid,5,74.77
Hybrid,6,74.53
Hybrid,7,74.63
Hybrid,8,75.03
Hybrid,9,74.4
Hybrid,10,74.7
Hybrid,11,76.08
Hybrid,12,75.12
Hybrid,13,75.37
Hybrid,14,74.58
Hybrid,15,76.53
Hybrid,16,75.98
Hybrid,17,75.77
Hybrid,18,76.0
Hybrid,19,77.52
Hybrid,20,75.95
Hybrid,21,79.15
Hybrid,22,78.27
Hybrid,23,78.95
Hybrid,24,79.57
Hybrid,25,80.88
Hybrid,26,80.65
Hybrid,27,79.37
Hybrid,28,80.87
Hybrid,29,77.12
Hybrid,30,81.73
Hybrid,31,79.32
Hybrid,32,82.93
Hybrid,33,80.87
Hybrid,34,83.93
Hybrid,35,84.0
Hybrid,36,82.98
Hybrid,37,84.33
Hybrid,38,84.33
Hybrid,39,84.55
Hybrid,40,82.13
Hybrid,41,85.07
Hybrid,42,83.97
Hybrid,43,84.42
Hybrid,44,84.52
Hybrid,45,82.33
Hybrid,46,84.87
Hybrid,47,82.22
Hybrid,48,85.42
Hybrid,49,85.2
Hybrid,50,85.97
Hybrid,51,84.7
Hybrid,52,85.47
Hybrid,53,84.25
Hybrid,54,82.98
Hybrid,55,85.43
Hybrid,56,86.3
Hybrid,57,84.63
Hybrid,58,86.0
Hybrid,59,86.32
Hybrid,60,85.67
Hybrid,61,86.25
Hybrid,62,85.33
Hybrid,63,86.35
Hybrid,64,85.9
Hybrid,65,86.03
Hybrid,66,85.72
Hybrid,67,84.92
Hybrid,68,86.68
Hybrid,69,87.1
Hybrid,70,86.82
Hybrid,71,86.93
Hybrid,72,87.05
Hybrid,73,86.87
Hybrid,74,86.82
Hybrid,75,86.43
Hybrid,76,85.52
Hybrid,77,87.28
Hybrid,78,86.28
Hybrid,79,87.07
Hybrid,80,86.8
Hybrid,81,86.93
Hybrid,82,87.03
Hybrid,83,86.25
Hybrid,84,87.22
Hybrid,85,86.97
Hybrid,86,86.38
Hybrid,87,87.25
Hybrid,88,86.5
Hybrid,89,87.5
Hybrid,90,87.4
Hybrid,91,87.32
Hybrid,92,86.92
Hybrid,93,87.32
Hybrid,94,87.43
Hybrid,95,87.42
Hybrid,96,87.3
Hybrid,97,87.62
Hybrid,98,87.38
Hybrid,99,87.12
Hybrid,100,87.43
LSTM,1,73.78
LSTM,2,73.65
LSTM,3,74.73
LSTM,4,75.2
LSTM,5,75.35
LSTM,6,74.8
LSTM,7,75.55
LSTM,8,75.32
LSTM,9,75.73
LSTM,10,75.58
LSTM,11,74.7
LSTM,12,75.63
LSTM,13,74.95
LSTM,14,75.63
LSTM,15,74.85
Mamba,1,75.07
Mamba,2,74.97
Mamba,3,74.62
Mamba,4,74.32
Mamba,5,75.55
Mamba,6,75.3
Mamba,7,76.35
Mamba,8,76.32
Mamba,9,76.47
Mamba,10,74.9
Mamba,11,76.07
Mamba,12,78.25
Mamba,13,78.27
Mamba,14,76.93
Mamba,15,80.22
Mamba,16,79.82
Mamba,17,78.78
Mamba,18,82.12
Mamba,19,82.47
Mamba,20,79.12
Mamba,21,79.88
Mamba,22,82.43
Mamba,23,82.55
Mamba,24,81.22
Mamba,25,83.15
Mamba,26,85.13
Mamba,27,86.73
Mamba,28,84.55
Mamba,29,85.7
Mamba,30,88.37
Mamba,31,87.12
Mamba,32,84.13
Mamba,33,83.57
Mamba,34,85.88
Mamba,35,90.8
Mamba,36,88.95
Mamba,37,83.53
Mamba,38,87.53
Mamba,39,87.78
Mamba,40,88.6
Mamba,41,93.53
Mamba,42,90.45
Mamba,43,85.92
Mamba,44,79.02
Mamba,45,91.35
Mamba,46,91.12
Mamba,47,79.97
Mamba,48,75.93
Mamba,49,80.42
Mamba,50,92.53
Mamba,51,85.53
Mamba,52,88.6
Mamba,53,90.72
Mamba,54,90.28
Mamba,55,88.22
Mamba,56,94.1
Mamba,57,84.47
Mamba,58,94.9
Mamba,59,94.47
Mamba,60,94.27
Mamba,61,95.28
Mamba,62,94.17
Mamba,63,79.43
Mamba,64,95.05
Mamba,65,94.9
Mamba,66,94.0
Mamba,67,96.72
Mamba,68,90.98
Mamba,69,97.18
Mamba,70,96.53
Mamba,71,90.57
Mamba,72,94.43
Mamba,73,95.92
Mamba,74,96.88
Mamba,75,90.47
Mamba,76,91.93
Mamba,77,94.13
Mamba,78,94.4
Mamba,79,96.78
Mamba,80,95.92
Mamba,81,96.05
Mamba,82,97.57
Mamba,83,96.27
Mamba,84,97.05
Mamba,85,96.67
Mamba,86,97.53
Mamba,87,94.5
Mamba,88,96.87
Mamba,89,96.82
Mamba,90,97.23
Mamba,91,97.3
Mamba,92,95.42
Mamba,93,94.13
Mamba,94,97.68
Mamba,95,93.13
Mamba,96,97.73
Mamba,97,97.67
Mamba,98,97.82
Mamba,99,96.42
Mamba,100,96.92
