Model,Epoch,Validation Accuracy
LSTM,1,54.13
LSTM,2,46.38
LSTM,3,61.53
LSTM,4,69.77
LSTM,5,48.3
LSTM,6,48.32
LSTM,7,51.88
LSTM,8,66.03
LSTM,9,48.75
LSTM,10,52.37
LSTM,11,49.7
LSTM,12,72.67
LSTM,13,74.37
LSTM,14,73.75
LSTM,15,74.45
LSTM,16,74.78
LSTM,17,73.98
LSTM,18,69.92
LSTM,19,74.45
LSTM,20,73.6
LSTM,21,73.7
LSTM,22,73.77
LSTM,23,74.27
LSTM,24,74.3
LSTM,25,49.97
LSTM,26,73.75
LSTM,27,73.92
LSTM,28,74.32
LSTM,29,72.65
LSTM,30,74.58
LSTM,31,74.18
LSTM,32,74.38
LSTM,33,74.13
LSTM,34,74.2
LSTM,35,74.02
LSTM,36,74.2
LSTM,37,74.2
LSTM,38,74.37
LSTM,39,74.63
LSTM,40,74.15
LSTM,41,74.32
LSTM,42,74.13
LSTM,43,74.67
LSTM,44,74.12
LSTM,45,74.9
LSTM,46,72.73
LSTM,47,74.23
LSTM,48,74.63
LSTM,49,74.18
LSTM,50,74.38
LSTM,51,74.4
LSTM,52,74.42
LSTM,53,74.13
LSTM,54,74.18
LSTM,55,74.07
LSTM,56,74.08
LSTM,57,74.08
LSTM,58,74.4
LSTM,59,74.28
LSTM,60,74.63
LSTM,61,74.2
LSTM,62,74.18
LSTM,63,74.08
LSTM,64,74.23
LSTM,65,74.73
LSTM,66,74.2
LSTM,67,74.08
LSTM,68,74.62
LSTM,69,74.62
LSTM,70,74.18
LSTM,71,74.15
LSTM,72,74.47
LSTM,73,74.2
LSTM,74,74.22
LSTM,75,74.57
LSTM,76,74.2
LSTM,77,74.23
LSTM,78,74.23
