Model,Epoch,Validation Accuracy
LSTM,1,27.55
LSTM,2,29.02
LSTM,3,31.0
LSTM,4,31.78
LSTM,5,31.43
LSTM,6,31.9
LSTM,7,32.05
LSTM,8,30.23
LSTM,9,32.4
LSTM,10,31.15
LSTM,11,32.28
LSTM,12,30.02
LSTM,13,32.13
LSTM,14,31.87
LSTM,15,31.43
LSTM,16,32.38
LSTM,17,31.42
LSTM,18,32.43
LSTM,19,32.62
LSTM,20,31.5
LSTM,21,32.0
LSTM,22,31.9
LSTM,23,31.82
LSTM,24,32.57
LSTM,25,32.38
LSTM,26,32.2
LSTM,27,31.93
LSTM,28,31.68
Mamba,1,50.17
Mamba,2,56.32
Mamba,3,57.05
Mamba,4,53.98
Mamba,5,56.62
Mamba,6,58.78
Mamba,7,61.33
Mamba,8,50.63
Mamba,9,63.05
Mamba,10,63.53
Mamba,11,64.97
Mamba,12,64.15
Mamba,13,65.3
Mamba,14,64.25
Mamba,15,65.2
Mamba,16,60.35
Mamba,17,66.55
Mamba,18,66.58
Mamba,19,67.12
Mamba,20,63.12
Mamba,21,66.53
Mamba,22,53.03
Mamba,23,61.13
Mamba,24,65.88
Mamba,25,67.02
Mamba,26,67.25
Mamba,27,65.83
Mamba,28,67.05
Mamba,29,67.53
Mamba,30,67.62
Mamba,31,68.37
Mamba,32,63.68
Mamba,33,65.33
Mamba,34,62.4
Mamba,35,67.22
Mamba,36,68.68
Mamba,37,67.22
Mamba,38,68.1
Mamba,39,68.95
Mamba,40,68.72
Mamba,41,59.82
Mamba,42,68.42
Mamba,43,67.65
Mamba,44,68.28
Mamba,45,68.98
Mamba,46,68.5
Mamba,47,67.9
Mamba,48,68.65
Mamba,49,68.58
Mamba,50,69.25
Mamba,51,68.57
Mamba,52,68.92
Mamba,53,69.18
Mamba,54,68.62
Mamba,55,69.25
Mamba,56,69.13
Mamba,57,70.02
Mamba,58,68.45
Mamba,59,68.85
Mamba,60,69.55
Mamba,61,69.97
Mamba,62,69.87
Mamba,63,69.15
Mamba,64,69.88
Mamba,65,70.35
Mamba,66,69.15
Mamba,67,69.1
Mamba,68,68.82
Mamba,69,69.32
Mamba,70,69.8
Mamba,71,69.7
Mamba,72,70.27
Mamba,73,70.35
Mamba,74,69.75
Mamba,75,70.9
Mamba,76,70.1
Mamba,77,70.87
Mamba,78,70.45
Mamba,79,69.68
Mamba,80,69.88
Mamba,81,69.82
Mamba,82,70.58
Mamba,83,70.02
Mamba,84,70.13
Mamba,85,70.92
Mamba,86,70.55
Mamba,87,70.68
Mamba,88,70.07
Mamba,89,70.45
Mamba,90,70.2
Mamba,91,70.32
Mamba,92,70.43
Mamba,93,70.37
Mamba,94,70.52
Mamba,95,70.73
Mamba,96,70.22
Mamba,97,70.57
Mamba,98,70.25
Mamba,99,70.83
Mamba,100,70.38
