Sat1.A1ModJulian          Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.ElapsedSecs          
30538.00005826831         7100                      0                         1300                      0                         7.35                      1                         0                         
30538.00075271275         7086.464257858134         440.719798974933          1357.476958126934         -0.4507116351633722       7.336004258803653         0.9153518029478325        59.99999988125637         
30538.00181008559         7014.203757654346         1107.996929559283         1434.996424878104         -1.129314205797624        7.261500740405796         0.7806183710734896        151.3570135342889         
30538.00295755385         6866.377838882033         1820.982792855668         1504.859543491094         -1.849426872112643        7.109585856318533         0.6277133281058833        250.4982713260688         
30538.00412626336         6643.594602288952         2527.973466539076         1560.141641310531         -2.558465291862171        6.881382352614478         0.4664474418491381        351.4747730107047         
30538.0045386747          6548.088458866092         2771.459765543993         1575.731651739878         -2.801501020036601        6.783749891718375         0.4085267639901293        387.1071124915034         
30538.00501410384         6427.344396397017         3047.623055907134         1591.132725197776         -3.076432963650786        6.660453991459946         0.3412547551875861        428.1841899035498         
30538.00578392307         6208.257094301488         3483.35696982832          1610.184312432516         -3.508653272198273        6.437064920172968         0.2314727045762691        494.6965717943385         
30538.00691028312         5837.265788288133         4091.902209944853         1624.850529672643         -4.109005659539161        6.059553440856229         0.06983609457006461       592.0140797970816         
30538.00808285048         5391.208473571253         4683.346244927669         1623.402270304654         -4.688652445522865        5.606597023774517         -0.09826281410071046      693.3238994912244         
30538.00926552086         4884.433689587494         5230.458833764385         1604.769918584389         -5.221204133443941        5.092845781425927         -0.2659796391701111       795.5066210590303         
30538.01045560343         4322.471782507446         5725.289182986408         1568.888008007714         -5.699429323468897        4.523827466604383         -0.4312305914212209       898.3297551283613         
30538.01164346952         3715.669693974315         6158.435266076146         1516.37858676001          -6.114775837825328        3.909813126138914         -0.5910441761617384       1000.961385131814         
30538.01282996415         3070.345685278037         6526.086032889077         1447.884849647641         -6.464103114589602        3.256879626161828         -0.7440136709152636       1103.474521322642         
30538.01403132921         2384.036753405377         6828.349155741123         1362.970827266466         -6.747873953230243        2.56212188109802          -0.8906159575308332       1207.27246182505          
30538.01522428639         1677.095363388165         7055.704263313582         1264.080935178309         -6.957444391099597        1.845652187545742         -1.026524555045555        1310.343962581828         
30538.01640525755         959.693949950201          7206.998176177345         1152.928633773124         -7.092097422898444        1.117266129156512         -1.150271648806582        1412.379870924633         
30538.01761912807         211.9742233571892         7284.341148653054         1026.1576583958           -7.153622876978623        0.3561741011701903        -1.265006727747718        1517.258283589035         
30538.01880709954         -522.1051184742339        7282.435044120277         891.122231178525          -7.137648664504218        -0.3934904117772581       -1.363924629192705        1619.89901822526          
30538.01999773611         -1252.292706595332        7203.391897134447         746.3232891674162         -7.045922870351339        -1.142194732104487        -1.448765979693749        1722.770018095616         
30538.02119351882         -1972.224312642727        7046.945714210319         592.8972625799511         -6.878053538556774        -1.883995740458355        -1.518648798537953        1826.085644087289         
30538.02238560684         -2668.82160766357         6815.540358753001         433.5815379981065         -6.636339348582151        -2.605922306006022        -1.572232285081068        1929.082049382851         
30538.02357397562         -3334.744624681948        6512.062957668515         270.1201447902857         -6.323324612663295        -3.300747527773865        -1.60900201157127         2031.757111684419         
